DatumZeit,LinkKasse,LinkArtikel,Anzahl
2017-02-25,32,1221,72.0
2017-02-25,32,1222,42.0
2017-02-25,32,1224,28.0
2017-02-25,32,1570,25.0
2017-02-25,32,1939,18.0
2017-02-25,32,2054,17.0
2017-02-25,32,2057,48.0
2017-02-26,32,1216,688.0
2017-02-26,32,1218,576.0
2017-02-26,32,1219,85.0
2017-02-26,32,1221,80.0
2017-02-26,32,1222,36.0
2017-02-26,32,1224,47.0
2017-02-26,32,1570,37.0
2017-02-26,32,1939,22.0
2017-02-26,32,2054,19.0
2017-02-26,32,2057,59.0
2017-02-27,32,1216,358.0
2017-02-27,32,1218,299.0
2017-02-27,32,1219,21.0
2017-02-27,32,1221,28.0
2017-02-27,32,1222,19.0
2017-02-27,32,1224,7.0
2017-02-27,32,1570,28.0
2017-02-27,32,1939,11.0
2017-02-27,32,2054,9.0
2017-02-27,32,2057,14.0
2017-02-28,32,1216,460.0
2017-02-28,32,1218,284.0
2017-02-28,32,1219,29.0
2017-02-28,32,1221,32.0
2017-02-28,32,1222,14.0
2017-02-28,32,1224,9.0
2017-02-28,32,1570,23.0
2017-02-28,32,1939,16.0
2017-02-28,32,2054,7.0
2017-02-28,32,2057,28.0
2017-03-01,32,1216,275.0
2017-03-01,32,1218,235.0
2017-03-01,32,1219,19.0
2017-03-01,32,1221,26.0
2017-03-01,32,1222,15.0
2017-03-01,32,1224,8.0
2017-03-01,32,1570,29.0
2017-03-01,32,1939,11.0
2017-03-01,32,2054,17.0
2017-03-01,32,2057,14.0
2017-03-02,32,1216,389.0
2017-03-02,32,1218,248.0
2017-03-02,32,1219,13.0
2017-03-02,32,1221,17.0
2017-03-02,32,1222,11.0
2017-03-02,32,1224,11.0
2017-03-02,32,1570,24.0
2017-03-02,32,1939,6.0
2017-03-02,32,2054,16.0
2017-03-02,32,2057,10.0
2017-03-03,32,1216,402.0
2017-03-03,32,1218,292.0
2017-03-03,32,1219,26.0
2017-03-03,32,1221,55.0
2017-03-03,32,1222,9.0
2017-03-03,32,1224,11.0
2017-03-03,32,1570,16.0
2017-03-03,32,1939,16.0
2017-03-03,32,2054,10.0
2017-03-03,32,2057,14.0
2017-03-04,32,1216,647.0
2017-03-04,32,1218,430.0
2017-03-04,32,1219,82.0
2017-03-04,32,1221,73.0
2017-03-04,32,1222,48.0
2017-03-04,32,1224,25.0
2017-03-04,32,1570,17.0
2017-03-04,32,1939,16.0
2017-03-04,32,2054,25.0
2017-03-04,32,2057,38.0
2017-03-05,32,1216,705.0
2017-03-05,32,1218,643.0
2017-03-05,32,1219,95.0
2017-03-05,32,1221,119.0
2017-03-05,32,1222,75.0
2017-03-05,32,1224,50.0
2017-03-05,32,1570,34.0
2017-03-05,32,1939,19.0
2017-03-05,32,2054,28.0
2017-03-05,32,2057,85.0
2017-03-06,32,1216,285.0
2017-03-06,32,1218,237.0
2017-03-06,32,1219,24.0
2017-03-06,32,1221,34.0
2017-03-06,32,1222,13.0
2017-03-06,32,1224,11.0
2017-03-06,32,1570,29.0
2017-03-06,32,1939,11.0
2017-03-06,32,2054,9.0
2017-03-06,32,2057,16.0
2017-03-07,32,1216,278.0
2017-03-07,32,1218,199.0
2017-03-07,32,1219,6.0
2017-03-07,32,1221,25.0
2017-03-07,32,1222,9.0
2017-03-07,32,1224,11.0
2017-03-07,32,1570,26.0
2017-03-07,32,1939,15.0
2017-03-07,32,2054,10.0
2017-03-07,32,2057,14.0
2017-03-08,32,1216,391.0
2017-03-08,32,1218,215.0
2017-03-08,32,1219,13.0
2017-03-08,32,1221,24.0
2017-03-08,32,1222,7.0
2017-03-08,32,1224,7.0
2017-03-08,32,1570,24.0
2017-03-08,32,1939,20.0
2017-03-08,32,2054,15.0
2017-03-08,32,2057,7.0
2017-03-09,32,1216,327.0
2017-03-09,32,1218,209.0
2017-03-09,32,1219,18.0
2017-03-09,32,1221,27.0
2017-03-09,32,1222,8.0
2017-03-09,32,1224,15.0
2017-03-09,32,1570,20.0
2017-03-09,32,1939,13.0
2017-03-09,32,2054,14.0
2017-03-09,32,2057,11.0
2017-03-10,32,1216,361.0
2017-03-10,32,1218,220.0
2017-03-10,32,1219,25.0
2017-03-10,32,1221,27.0
2017-03-10,32,1222,15.0
2017-03-10,32,1224,10.0
2017-03-10,32,1570,25.0
2017-03-10,32,1939,8.0
2017-03-10,32,2054,15.0
2017-03-10,32,2057,14.0
2017-03-11,32,1216,650.0
2017-03-11,32,1218,477.0
2017-03-11,32,1219,76.0
2017-03-11,32,1221,72.0
